id,balance_time,LTV_time,interest_rate_time,hpi_time,gdp_time,uer_time,REtype_CO_orig_time,REtype_PU_orig_time,REtype_SF_orig_time,investor_orig_time,balance_orig_time,FICO_orig_time,LTV_orig_time,Interest_Rate_orig_time,hpi_orig_time,default,mat_orig_diff
46427,137355.02933333337,83.1895999688,3.7666666666666666,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,150000.0,633.0,71.39999999999999,3.7666666666666666,212.73,0.0,119.0
46430,48626.32866666666,37.12229220133334,10.2,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,63000.0,546.0,78.79999999999998,10.2,102.24,0.0,61.0
46439,52751.03799999999,36.78889022566667,7.75,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,118750.0,673.0,95.0,7.75,144.83999999999997,0.0,60.0
46441,168289.0026666666,69.65608686019999,5.996666666666668,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,203000.0,669.0,94.40000000000002,5.996666666666668,149.7,0.0,120.0
46449,67809.87733333334,51.67009629173333,10.599999999999998,202.68066666666667,1.2767022022200003,5.140000000000001,0.0,0.0,0.0,1.0,69840.0,674.0,80.0,10.599999999999998,132.76,1.0,120.0
46452,47969.64333333333,49.1985118152,7.799999999999998,156.59533333333331,0.3135023258999999,8.76666666666667,0.0,0.0,1.0,0.0,61125.0,655.0,70.79999999999998,7.799999999999998,138.61999999999995,1.0,80.0
46460,96262.60733333333,75.21433712273333,7.799999999999998,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,110000.0,720.0,100.0,7.799999999999998,144.83999999999997,0.0,121.0
46463,78914.06533333335,48.665539019200004,6.700000000000002,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,119000.0,680.0,85.0,6.700000000000002,144.83999999999997,0.0,81.0
46464,33319.99199999999,39.34861914166666,10.949999999999998,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,60800.0,513.0,80.0,10.949999999999998,149.7,0.0,61.0
46476,101686.44399999997,64.52194324606666,7.0,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,119700.0,684.0,90.0,7.0,142.18000000000004,0.0,120.0
46479,122112.97133333333,68.89767453866668,2.0,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,138000.0,660.0,84.20000000000002,2.0,155.77,0.0,120.0
46491,40144.424,37.51292541006667,5.0,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,59000.0,629.0,64.10000000000001,5.0,144.83999999999997,0.0,60.0
46513,122061.43666666668,46.1343014,5.699999999999999,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,152750.0,638.0,62.399999999999984,5.699999999999999,155.77,0.0,120.0
46514,125410.61599999998,43.027293877599995,10.458333333333334,189.87066666666666,0.13573946053333327,6.06,0.0,0.0,1.0,0.0,135000.0,604.0,54.0,0.0,161.27,0.0,120.0
46524,25709.157333333333,35.37504364393333,6.950000000000002,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,0.0,0.0,52200.0,658.0,76.79999999999998,6.950000000000002,155.77,0.0,61.0
46530,97925.32733333335,65.34610750766666,4.950000000000001,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,114800.0,610.0,80.0,0.0,161.27,0.0,121.0
46533,120158.60666666666,71.36969022813334,6.799999999999998,194.24333333333334,0.3598911766066667,5.706666666666667,0.0,0.0,1.0,0.0,125000.0,655.0,84.20000000000002,6.799999999999998,167.91,0.0,121.0
46539,233559.9753333333,114.27013052306667,5.5,167.86533333333333,1.9186841548800002,7.613333333333333,0.0,1.0,0.0,0.0,247500.0,588.0,90.0,0.0,223.75,1.0,118.0
46542,126666.18066666667,110.86468716646665,8.393333333333333,161.30266666666665,0.15063140719999993,8.293333333333335,0.0,0.0,0.0,0.0,128000.0,583.0,80.0,0.0,225.09999999999994,1.0,120.0
46543,394881.02266666666,117.26229436673333,4.924999999999999,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,405000.0,655.0,90.0,0.0,225.09999999999994,0.0,120.0
46544,179424.192,102.15570702533334,5.136666666666667,169.9466666666667,2.023171749073333,7.473333333333334,0.0,0.0,1.0,0.0,185600.0,644.0,80.0,5.136666666666667,222.3899999999999,0.0,120.0
46548,182569.65733333337,138.85700064066666,6.0,156.59533333333331,0.3135023258999999,8.76666666666667,0.0,0.0,1.0,0.0,187000.0,654.0,100.0,6.0,222.3899999999999,1.0,120.0
46550,115830.63000000002,103.63476209806667,7.48,158.86666666666667,0.18823271110666662,8.546666666666669,0.0,1.0,0.0,0.0,117000.0,548.0,78.0,0.0,212.73,1.0,118.0
46551,174363.43333333338,89.75918185726667,2.0,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,193000.0,567.0,77.5,0.0,212.73,0.0,118.0
46552,171614.62133333334,107.07393998926666,7.425,161.30266666666665,0.15063140719999993,8.293333333333335,0.0,0.0,1.0,0.0,175200.0,622.0,80.0,7.425,219.67000000000004,1.0,120.0
46564,119479.01933333333,44.68198031593334,6.900000000000002,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,140000.0,587.0,60.899999999999984,6.900000000000002,144.83999999999997,0.0,120.0
46567,128370.98866666666,57.10095447973334,6.099999999999999,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,160000.0,662.0,80.0,6.099999999999999,149.7,0.0,120.0
46570,296045.20933333336,77.64564230239999,5.989999999999999,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,346750.0,631.0,95.0,5.989999999999999,161.27,0.0,121.0
